shannon	simpson	fisher.alpha	richness	rarefy_min_count
F43	2.72728046001452	0.872513512440081	12.015448566226	104	60.2923466536591
F69	2.7257081231657	0.87461579581923	13.0022136785992	103	61.2616542291049
F91	2.72420630730455	0.870484916648135	13.3476054603319	107	64.5035841873093
F24	2.71283010805737	0.884554270531863	11.5935736843144	93	62.7374933813034
F66	2.70966660593327	0.87420385045067	16.9059445764331	134	61.8088544351376
F62	2.70945155920201	0.871409020844988	14.4570232634061	121	58.3794582022711
F80	2.70689012237713	0.875514718367618	11.0831774199903	85	64.8616502682204
F18	2.70651674382813	0.870426903045824	12.0292867359647	99	59.664217583739
F104	2.70412446001962	0.865523637169075	12.3346361380423	99	63.3821129924301
F40	2.70015094665375	0.869784724759411	16.1921876686213	138	63.2306183887084
F70	2.69428908945862	0.860598063836751	16.5817573589	141	67.6797712068824
F19	2.68052172829323	0.881167458732782	13.026049640034	105	57.3449987999147
F15	2.68022106511067	0.873843397650527	11.1318895591366	95	57.3455606064894
F30	2.67703692186698	0.860459411708799	10.7985217731843	85	61.0529779624755
F63	2.67611339728621	0.861702890467895	15.6305213102648	134	64.0632108353273
F25	2.67273081311989	0.865662295316553	9.71797103099471	81	55.7340306086397
F44	2.67001734433469	0.854450276878626	12.3689271239292	99	61.4891813218026
F95	2.66379415005423	0.86006342213205	11.9632150518599	96	61.5375832962934
F53	2.65507147455153	0.854026541790912	16.0002905671705	135	66.1632697784046
F85	2.64929770802845	0.858543420229515	11.8348481061076	95	57.8493981585011
F20	2.64739478380266	0.865995914402773	14.4532768431326	119	61.0956620590529
F102	2.64339378959707	0.848167524625844	10.9368387962142	89	59.0931450514177
F31	2.64256852032808	0.851803065522324	12.1040728632706	102	62.431280536345
F100	2.63773701928949	0.851078985308802	14.9448998333472	121	62.4581321343035
F13	2.63736795790477	0.867811349209236	13.2666737550851	113	57.221127467482
F58	2.63128942446574	0.847812803837843	14.3262218857559	120	59.8448854503995
F55	2.62725850648625	0.859413281194397	15.1666780208979	116	61.9648284085277
F86	2.60751863738609	0.849383805937913	11.3286717397279	90	59.9235050391266
F77	2.60546646885697	0.853111063812541	14.7264664993075	117	61.7241621345264
F83	2.59923181402501	0.854779921680313	12.2785060624624	88	63.0656587609079
F27	2.59904534856718	0.855605914556306	11.7807517198617	96	56.6128734753371
F68	2.59894018587582	0.843461621707318	14.8345032557763	121	61.7591126049957
F56	2.57474930504086	0.844873848808624	14.3087953069045	117	60.1644131662901
O1	2.53330218635566	0.844636300005432	11.8447750088216	99	56.4025285533308
F75	2.51845720501486	0.833689555662404	14.4426973806213	125	60.9772521551674
F72	2.51404264926441	0.8428466048	14.4892470651035	108	61.787275431076
F90	2.49641363030759	0.831317567293892	10.5312475064694	85	54.941866501635
F22	2.48198329699469	0.836167698978337	11.7781322742787	93	55.2839741242537
F14	2.47789768319149	0.836970758130201	10.8727107232958	91	52.9816699274037
F11	2.47275757088648	0.835463404362593	11.158453284675	94	54.1811219812355
F23	2.46457322340682	0.831212082688844	11.8885241661183	96	58.7831663553329
F16	2.42093758887089	0.813418768845753	10.518550042562	86	50.8010061316091
F38	2.36940574816774	0.81915941609661	7.48534725657729	45	45
