Gene	F56	F91	F101	F98	F26	F54	F11	F40	F17	F52	F34	F82	F74	F22	F53	F75	F36	F92	F63	F64	F59	F69	O1	F89	F67	F104	F31	F68	F16	F76	F15	F47	F14	F42	F21	F50	F32	F87	F25	F58	F39	F61	F12	F60	F100	F23	F70	F37	F84	F20	F95	F90	F30	F79	F94	F71	F102	F44	F103	F18	F45	F33	F88	F19	F51	F65	F93	F29	F81	F49	F38	F83	F27	F55	F43	F97	F96	F28	F62	F99	F35	F78	F85	F86	F57	F13	F41	F48	F24	F80	F66	F72	F73	F77
tet(Y) 1_EF495198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(Z) 2_AF121000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
tet(Z) 3_AY222818	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
tetA(P) 1_AB054980	12	30	24	28	30	18	0	26	4	26	6	2	50	0	32	24	12	24	30	66	32	8	8	24	78	20	34	26	2	38	10	106	8	10	0	4	30	8	14	78	6	14	2	28	26	4	74	8	16	6	14	18	4	4	12	52	12	24	6	0	10	52	12	2	24	88	34	30	50	52	4	12	14	8	18	20	34	42	26	6	10	28	20	20	68	4	32	26	4	8	8	0	6	10
tetA(P) 2_HQ399624	0	2	2	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	2	4	0	0	2	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	6	0	0	6	2	0	0	2	0	2	0	0	4	0	0	0	0	2	2	2	2	0	6	2	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
tetA(P) 3_L20800	72	58	82	54	78	50	0	130	14	86	44	20	132	14	160	42	8	64	78	216	102	46	34	84	196	84	96	80	22	116	26	340	12	26	4	54	84	44	74	198	50	36	12	140	90	18	194	18	50	8	46	44	32	32	54	156	44	56	34	12	50	122	48	6	96	284	102	40	116	206	8	16	34	36	146	52	102	88	88	24	38	188	66	34	224	14	172	114	8	40	28	20	22	82
tetA(P) 4_AB001076	10	4	8	4	8	12	0	6	0	10	4	4	26	0	12	12	0	28	10	20	12	0	4	8	34	16	12	10	0	10	2	40	4	2	0	2	10	6	14	40	4	4	4	6	0	0	26	4	8	2	2	0	2	4	10	22	4	4	6	2	4	18	6	0	6	28	8	4	18	18	0	0	2	6	16	4	16	10	18	0	4	10	14	8	28	0	20	8	0	4	2	0	4	10
tetB(P) 3_NC_010937	16	20	36	40	48	38	4	50	12	30	6	2	114	2	94	30	20	74	48	100	38	16	14	70	270	28	28	24	12	80	8	124	16	20	2	16	60	32	62	192	6	20	20	50	32	16	150	14	40	8	40	2	22	22	8	226	4	8	16	10	24	34	12	6	12	114	28	46	130	38	8	14	10	16	48	18	66	52	68	8	2	34	40	18	86	18	82	6	2	10	14	6	6	14
vat(E) 10_AY043212	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0
vat(E) 11_AY043213	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2	0
vat(E) 3_AF153312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vat(E) 5_AJ488494	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	2	0
vat(E) 6_AF242872	0	0	0	0	0	0	0	2	0	2	0	2	0	0	2	0	0	2	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	4	2	0	0	2	2	2	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	2	0	0	0
vat(E) 7_AY043211	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
vat(E) 8_AY043209	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
vat(E) 9_AY043210	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	2	0
vat(F) 1_AF170730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vga(C) 2_NC_013034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vga(E) 1_FR772051	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
